rooms,total_area,living_area,floor,kitchen_area,airports_nearest,cityCenters_nearest,last_price
2,52.03,25.41,18,11.52,11976.0,17763.0,3950000.0
2,57.2,29.8,1,11.6,35966.0,16267.0,4750000.0
1,37.55,15.2,10,8.9,22098.0,23810.0,4318000.0
1,31.0,15.0,9,10.0,18471.0,24272.0,2000000.0
3,65.0,44.0,11,11.0,16124.0,14619.0,4600000.0
2,56.7,34.1,5,9.6,22800.0,9274.0,6000000.0
4,134.0,78.0,17,30.0,34991.0,11920.0,18450000.0
2,115.0,65.0,2,14.0,23537.0,1995.0,37000000.0
1,30.5,17.2,2,5.0,19516.0,31670.0,2650000.0
1,31.4,16.0,7,9.0,18927.0,10458.0,3200000.0
1,31.1,18.1,4,6.5,57893.0,34821.0,3100000.0
1,41.68,19.0,4,10.44,37792.0,14635.0,3810000.0
1,33.0,18.0,4,7.0,45133.0,17371.0,3150000.0
2,51.0,30.5,9,7.0,45825.0,34301.0,3900000.0
3,70.0,47.4,1,8.0,19859.0,4132.0,5900000.0
1,37.0,18.2,15,8.8,41359.0,11491.0,3850000.0
2,68.0,37.0,3,13.0,17674.0,16470.0,5550000.0
3,70.6,48.0,6,8.0,15895.0,11223.0,7200000.0
2,47.0,29.0,7,9.0,25316.0,31102.0,3700000.0
1,31.0,17.5,1,5.4,72005.0,53104.0,3500000.0
2,51.08,26.4,4,10.2,39858.0,32539.0,4400000.0
3,70.8,50.9,5,8.2,25335.0,4235.0,6283000.0
2,65.0,30.0,9,12.0,16346.0,15142.0,5350000.0
3,83.9,51.8,2,9.6,27245.0,30670.0,5700000.0
3,58.0,42.0,1,6.0,10980.0,9467.0,4800000.0
1,31.0,18.0,2,5.5,55619.0,21294.0,2500000.0
3,86.0,47.0,3,13.0,52192.0,15686.0,12500000.0
1,31.0,18.0,4,6.5,44931.0,16446.0,3190000.0
2,48.6,32.5,3,8.0,42608.0,8765.0,5100000.0
4,108.0,76.9,2,11.2,25301.0,3876.0,13900000.0
2,46.3,28.8,2,9.0,31327.0,3144.0,5650000.0
1,29.4,15.1,4,7.3,42365.0,9857.0,3050000.0
1,67.0,37.0,7,17.0,23988.0,5129.0,9990000.0
3,59.7,47.4,4,6.4,43095.0,15599.0,4850000.0
3,97.0,51.2,7,18.4,23617.0,5223.0,12734000.0
1,39.7,21.0,1,7.4,57025.0,33954.0,3700000.0
2,72.0,34.0,9,17.0,23756.0,5384.0,9591727.0
2,62.0,30.0,22,10.0,19971.0,21683.0,6090000.0
2,42.1,28.0,2,7.0,13889.0,10773.0,4500000.0
2,45.4,27.8,3,7.1,19947.0,15543.0,3900000.0
1,32.0,17.0,2,6.0,13482.0,14561.0,3200000.0
2,45.8,26.7,9,6.3,14107.0,15101.0,4950000.0
2,67.0,34.0,15,13.0,27918.0,12441.0,7500000.0
3,50.0,31.5,1,5.0,21341.0,2043.0,7100000.0
2,124.8,37.1,1,14.1,54164.0,35263.0,7500000.0
1,32.9,17.9,7,6.2,47694.0,16122.0,3300000.0
2,58.0,36.6,2,7.9,39136.0,9974.0,6000000.0
5,163.4,119.5,2,10.0,26791.0,5493.0,21800000.0
3,79.0,47.0,11,15.0,38622.0,14116.0,7700000.0
2,55.0,31.2,4,8.5,34589.0,12622.0,5500000.0
1,40.0,18.0,15,11.3,11858.0,17411.0,3990000.0
2,46.2,28.7,3,6.4,26990.0,8669.0,3980000.0
1,32.2,19.0,5,6.5,46240.0,14856.0,3200000.0
1,30.0,16.0,5,7.0,14442.0,11734.0,2950000.0
3,85.0,49.0,14,13.0,39653.0,8913.0,9900000.0
2,58.5,29.1,8,7.7,28554.0,34341.0,4400000.0
2,46.9,28.3,5,7.9,31037.0,6337.0,6200000.0
1,33.0,18.6,1,6.3,51144.0,16472.0,3300000.0
1,34.4,18.6,5,7.1,21297.0,14515.0,3500000.0
3,87.1,66.9,2,9.5,32758.0,4855.0,8350000.0
1,48.6,13.0,3,15.0,23609.0,5299.0,5496074.0
1,43.5,25.0,4,9.4,10527.0,10278.0,5990000.0
2,42.6,29.0,2,10.0,34496.0,15595.0,7030000.0
3,69.7,42.0,4,7.9,44812.0,15039.0,6500000.0
2,65.7,30.9,6,13.1,31364.0,5045.0,8560000.0
2,50.0,32.0,7,6.0,43033.0,15537.0,4600000.0
4,83.1,56.5,4,8.9,24654.0,4873.0,7000000.0
3,69.2,43.78,12,7.06,12952.0,14258.0,7400000.0
2,61.0,35.0,4,10.5,55827.0,21502.0,4700000.0
2,58.2,34.4,1,10.6,54171.0,24096.0,3900000.0
1,29.9,15.4,5,7.2,44734.0,13846.0,3400000.0
1,40.0,17.7,5,11.2,18459.0,31151.0,3450000.0
3,85.0,56.5,6,22.0,27084.0,5777.0,12500000.0
2,65.0,30.04,2,10.2,18621.0,17623.0,7300000.0
3,55.4,40.4,3,5.0,29535.0,8382.0,5150000.0
3,140.0,60.0,21,30.0,37199.0,12721.0,25000000.0
2,84.0,41.0,1,13.0,73827.0,54926.0,8400000.0
3,41.0,28.4,2,5.3,11813.0,10742.0,4110000.0
2,96.0,20.0,1,36.0,23843.0,2391.0,21000000.0
1,40.0,18.0,2,11.4,14932.0,11348.0,4600000.0
3,66.0,42.0,8,8.5,51048.0,16376.0,5800000.0
1,41.5,16.5,14,11.7,17209.0,16005.0,4100000.0
1,36.8,17.7,6,8.3,36614.0,12325.0,4100000.0
2,65.0,26.0,3,25.0,21037.0,31413.0,6630000.0
1,36.5,16.3,12,9.0,33562.0,14660.0,3800000.0
4,103.8,74.6,3,9.5,13398.0,9120.0,8500000.0
3,70.5,42.4,10,10.8,36382.0,11581.0,6760000.0
2,71.0,33.0,19,14.2,51468.0,15925.0,8700000.0
1,37.0,17.8,9,8.3,34517.0,15561.0,4000000.0
2,43.0,28.0,3,5.1,10989.0,9421.0,4200000.0
2,54.0,21.4,28,18.7,18732.0,20444.0,5990000.0
2,79.3,43.1,5,17.6,39393.0,11096.0,12789000.0
3,65.3,42.7,4,9.9,14908.0,14667.0,5900000.0
1,31.5,16.7,5,7.7,45547.0,48972.0,2450000.0
3,68.0,45.0,3,7.0,10809.0,14388.0,5390000.0
3,55.0,38.0,2,5.0,21399.0,23111.0,4370000.0
2,45.0,28.0,6,7.0,32193.0,12786.0,3600000.0
3,81.2,45.7,2,14.3,23128.0,2669.0,11400000.0
1,37.5,14.6,2,8.4,32668.0,13832.0,4125000.0
3,41.5,29.6,5,5.3,18055.0,23844.0,2750000.0
3,89.7,47.0,14,16.5,22212.0,17399.0,5812413.0
2,72.0,35.0,15,18.0,43058.0,13495.0,10850000.0
3,151.0,85.0,3,23.0,33255.0,5975.0,40662000.0
1,30.4,18.0,2,5.3,11940.0,10602.0,3050000.0
1,37.0,18.5,2,10.0,32969.0,14133.0,4250000.0
1,41.41,12.3,10,11.24,35966.0,11487.0,5600000.0
3,67.0,42.8,1,8.3,45510.0,16601.0,6800000.0
2,52.0,30.5,12,9.0,34636.0,12010.0,5200000.0
5,178.0,126.6,2,19.4,24287.0,2835.0,14200000.0
1,30.0,17.0,3,5.5,12810.0,9642.0,3100000.0
1,38.0,16.0,5,10.0,20562.0,30937.0,4150000.0
1,38.5,18.0,7,10.2,42067.0,10001.0,4900000.0
1,41.0,18.7,9,10.7,12003.0,17790.0,3750000.0
2,58.7,32.7,9,11.8,22219.0,17547.0,5300000.0
3,77.0,40.0,3,13.3,25019.0,3349.0,6950000.0
1,38.7,16.5,3,10.0,19826.0,21538.0,3400000.0
1,34.0,19.0,1,7.0,26920.0,32706.0,2500000.0
3,57.0,37.0,1,6.0,45487.0,15517.0,3997000.0
3,60.6,44.0,6,7.0,14803.0,11390.0,4850000.0
3,57.8,33.7,4,9.7,21545.0,1166.0,6800000.0
2,61.8,34.2,3,10.6,30187.0,11313.0,6800000.0
3,60.2,43.0,9,6.4,11361.0,15727.0,5000000.0
1,37.0,17.8,6,8.4,46151.0,34044.0,3350000.0
3,72.0,42.0,4,10.0,14691.0,26845.0,8570000.0
1,35.6,17.0,9,7.0,17944.0,11212.0,3700000.0
1,35.0,15.0,24,9.0,43390.0,12148.0,4200000.0
1,52.4,17.7,2,17.7,32127.0,12719.0,7000000.0
2,47.5,28.0,5,8.0,32218.0,13037.0,4200000.0
2,45.0,30.0,2,6.0,19346.0,10878.0,5500000.0
3,58.0,38.8,3,7.0,25504.0,31291.0,4690000.0
3,58.0,35.0,5,6.2,50515.0,15843.0,4990000.0
4,96.0,70.9,4,9.2,22986.0,2528.0,12500000.0
2,53.0,31.0,4,7.0,21397.0,1429.0,6550000.0
1,42.0,18.0,13,13.0,27472.0,13190.0,4250000.0
3,54.7,37.7,1,5.1,16950.0,16858.0,3490000.0
1,51.6,12.7,10,23.1,23562.0,7508.0,7950000.0
3,65.0,43.0,2,7.5,28927.0,7866.0,8500000.0
2,70.8,38.4,12,10.63,37364.0,8322.0,9788348.0
2,51.0,32.0,5,6.0,48522.0,16360.0,5200000.0
1,42.4,17.0,2,10.8,13492.0,16084.0,4200000.0
3,59.0,38.5,7,7.0,49178.0,16848.0,4700000.0
2,50.0,28.5,3,8.5,31662.0,4986.0,5150000.0
6,280.3,159.5,7,21.1,26316.0,6655.0,66571000.0
2,69.3,34.0,4,11.33,47589.0,25200.0,4900000.0
2,69.0,34.6,1,14.0,32796.0,11871.0,7000000.0
1,41.6,16.5,12,11.7,17209.0,16005.0,4100000.0
3,77.2,47.4,3,13.5,14861.0,12449.0,6800000.0
1,33.5,17.3,2,8.6,16501.0,10163.0,4900000.0
2,68.7,34.6,12,14.2,32796.0,11871.0,5700000.0
2,48.2,30.0,7,6.0,32331.0,9409.0,4950000.0
2,67.2,36.9,4,11.0,20138.0,32291.0,5700000.0
3,103.2,55.7,5,19.5,28399.0,7101.0,16512000.0
1,40.9,13.0,9,11.4,15377.0,13486.0,3700000.0
2,43.8,28.4,1,5.0,12104.0,17891.0,3290000.0
4,118.3,60.0,7,16.5,42751.0,12627.0,13500000.0
3,78.0,54.0,3,8.0,21868.0,10779.0,7050000.0
1,46.5,30.0,4,12.0,24608.0,4827.0,6300000.0
1,43.0,20.0,4,15.0,11827.0,11459.0,6570000.0
2,70.0,40.0,6,20.0,23605.0,3172.0,10000000.0
3,97.8,47.3,6,13.2,48669.0,15277.0,10000000.0
3,70.4,41.8,2,10.5,42996.0,8512.0,5400000.0
2,45.0,30.0,1,5.5,48492.0,51917.0,3600000.0
1,31.4,16.1,6,7.0,25612.0,31399.0,3140000.0
3,66.1,43.6,5,17.2,33933.0,15032.0,8900000.0
4,216.0,86.0,4,77.0,21740.0,436.0,95000000.0
2,60.5,29.8,10,13.8,42534.0,21823.0,5100000.0
5,104.0,70.0,4,14.0,21773.0,2074.0,10400000.0
4,136.2,99.5,5,10.2,25997.0,4699.0,13460000.0
2,60.7,34.1,8,12.3,13594.0,16186.0,8351000.0
2,55.15,35.0,1,7.8,14620.0,8098.0,5100000.0
2,77.7,30.0,5,25.0,14066.0,26219.0,12200000.0
3,60.2,43.4,1,6.3,12815.0,11537.0,4157000.0
2,71.0,43.0,3,8.0,21566.0,1217.0,11250000.0
3,54.5,35.0,1,7.0,22976.0,13591.0,3950000.0
2,58.0,31.1,2,10.0,18867.0,22291.0,4500000.0
2,48.0,27.5,7,10.5,35055.0,16219.0,5600000.0
2,53.0,27.7,4,10.4,23450.0,29236.0,4200000.0
6,225.0,134.0,2,19.5,32864.0,5720.0,90000000.0
1,34.0,17.6,9,7.7,28185.0,11382.0,3700000.0
3,92.2,62.4,20,11.0,30706.0,7877.0,16500000.0
3,41.3,30.8,5,5.5,13202.0,9912.0,4150000.0
3,65.53,47.7,2,5.8,39533.0,11236.0,6800000.0
3,71.3,43.0,10,10.8,33914.0,13060.0,6800000.0
2,68.1,35.4,10,15.4,39115.0,12291.0,11700000.0
3,230.1,130.0,1,26.1,16877.0,29030.0,25717300.0
1,53.3,22.6,4,11.7,36873.0,15025.0,6300000.0
1,35.0,15.0,3,8.3,55901.0,32830.0,3900000.0
3,57.0,40.0,2,6.0,19455.0,18458.0,4200000.0
1,45.1,20.1,8,12.2,34631.0,14499.0,5200000.0
2,50.0,30.5,3,7.0,51149.0,13478.0,4300000.0
3,90.0,43.3,1,25.0,35151.0,12065.0,6800000.0
3,67.4,48.5,8,6.2,47531.0,20410.0,5900000.0
5,130.0,82.0,5,8.7,40277.0,8970.0,12500000.0
4,100.0,60.9,6,10.5,49888.0,16139.0,9500000.0
3,78.0,47.8,3,10.5,19300.0,14000.0,7500000.0
1,39.1,20.1,2,8.4,32874.0,13973.0,4847000.0
1,23.8,20.0,9,5.0,9731.0,11849.0,4700000.0
3,71.7,48.2,3,9.0,29615.0,6987.0,8000000.0
3,81.13,50.25,6,14.2,11312.0,10944.0,9411080.0
1,31.0,16.0,6,8.0,18410.0,24211.0,2220000.0
1,38.0,16.0,14,9.0,12960.0,12342.0,5300000.0
1,33.5,17.5,6,6.5,33972.0,11746.0,2999000.0
2,61.3,26.0,6,13.8,41924.0,21240.0,4700000.0
3,56.4,36.0,5,7.6,47041.0,15186.0,4900000.0
3,83.1,50.9,3,10.3,22017.0,1803.0,7680000.0
1,28.5,16.0,4,5.0,14852.0,27006.0,3500000.0
1,32.4,17.9,2,6.2,51708.0,16890.0,3120000.0
3,65.5,42.0,7,8.0,25531.0,27243.0,4500000.0
3,70.8,49.5,4,8.6,25783.0,4358.0,8100000.0
2,43.0,24.7,8,12.5,29193.0,6565.0,4080000.0
2,62.5,32.0,1,10.0,24150.0,29936.0,3750000.0
1,42.0,18.0,9,12.0,32869.0,8628.0,5950000.0
2,59.6,35.0,4,9.6,19161.0,34016.0,5800000.0
2,67.7,38.95,9,9.9,37434.0,8460.0,8945261.0
2,54.4,29.6,10,8.6,11187.0,13491.0,7000000.0
1,106.9,38.6,2,10.0,44056.0,15759.0,9300000.0
1,43.0,18.0,3,11.0,56588.0,33517.0,3800000.0
2,50.0,18.0,17,12.5,22306.0,17634.0,4160000.0
2,73.7,33.260002,3,14.5,35003.0,10852.0,8107000.0
2,51.0,29.0,7,10.2,13770.0,11764.0,4600000.0
2,64.4,31.5,6,17.2,17441.0,8092.0,8400000.0
2,64.6,31.9,9,15.5,21793.0,17121.0,5026719.0
2,113.1,48.2,2,23.1,24884.0,3432.0,15300000.0
3,71.6,43.1,9,10.9,28583.0,11537.0,6275000.0
3,100.0,42.5,2,31.0,13836.0,8839.0,8600000.0
3,59.0,37.0,1,7.0,84665.0,65764.0,4000000.0
2,68.6,42.6,6,10.8,12319.0,18105.0,5490000.0
3,56.7,42.0,3,5.1,14738.0,13279.0,5270000.0
3,86.0,55.0,4,13.0,35181.0,11592.0,9150000.0
2,64.6,31.5,21,15.5,28841.0,11062.0,10300000.0
1,40.0,18.0,24,11.0,37781.0,14657.0,4900000.0
1,38.6,20.0,15,10.6,33686.0,13554.0,4500000.0
5,165.0,114.0,4,13.0,25709.0,4284.0,13900000.0
2,60.0,34.6,2,9.2,34939.0,10841.0,8150000.0
2,70.0,40.0,7,11.0,27573.0,9436.0,8200000.0
2,44.0,28.3,2,5.9,15674.0,8555.0,4300000.0
3,64.0,42.0,1,10.0,65192.0,46918.0,4640000.0
1,42.0,19.0,8,9.0,11312.0,12232.0,4500000.0
1,42.0,18.6,5,10.8,12416.0,18203.0,3650000.0
1,37.9,18.8,8,10.5,46535.0,34134.0,3330000.0
1,33.2,18.1,4,6.3,47888.0,16830.0,3950000.0
2,53.7,48.3,5,7.0,50477.0,13252.0,5600000.0
3,59.0,38.0,1,7.0,24925.0,30711.0,3600000.0
